first_name,last_name,bbr_url,image_url
Myron,Gardner,https://www.basketball-reference.com/players/g/gardnmy01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gardnmy01.jpg
Darius,Garland,https://www.basketball-reference.com/players/g/garlada01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/garlada01.jpg
Marcus,Garrett,https://www.basketball-reference.com/players/g/garrema01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/garrema01.jpg
Luka,Garza,https://www.basketball-reference.com/players/g/garzalu01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/garzalu01.jpg
Keyonte,George,https://www.basketball-reference.com/players/g/georgke01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/georgke01.jpg
Kyshawn,George,https://www.basketball-reference.com/players/g/georgky01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/georgky01.jpg
Paul,George,https://www.basketball-reference.com/players/g/georgpa01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/georgpa01.jpg
Taj,Gibson,https://www.basketball-reference.com/players/g/gibsota01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gibsota01.jpg
Josh,Giddey,https://www.basketball-reference.com/players/g/giddejo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/giddejo01.jpg
Shai,Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gilgesh01.jpg
Anthony,Gill,https://www.basketball-reference.com/players/g/gillan01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gillan01.jpg
Collin,Gillespie,https://www.basketball-reference.com/players/g/gilleco01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gilleco01.jpg
Rudy,Gobert,https://www.basketball-reference.com/players/g/goberru01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/goberru01.jpg
Hugo,Gonzalez,https://www.basketball-reference.com/players/g/gonzahu01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gonzahu01.jpg
Jordan,Goodwin,https://www.basketball-reference.com/players/g/goodwjo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/goodwjo01.jpg
Aaron,Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gordoaa01.jpg
Eric,Gordon,https://www.basketball-reference.com/players/g/gordoer01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gordoer01.jpg
Jazian,Gortman,https://www.basketball-reference.com/players/g/gortmja01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gortmja01.jpg
Jerami,Grant,https://www.basketball-reference.com/players/g/grantje01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/grantje01.jpg
A.J.,Green,https://www.basketball-reference.com/players/g/greenaj01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/greenaj01.jpg
Draymond,Green,https://www.basketball-reference.com/players/g/greendr01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/greendr01.jpg
Jalen,Green,https://www.basketball-reference.com/players/g/greenja05.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/greenja05.jpg
Javonte,Green,https://www.basketball-reference.com/players/g/greenja02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/greenja02.jpg
Jeff,Green,https://www.basketball-reference.com/players/g/greenje02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/greenje02.jpg
Josh,Green,https://www.basketball-reference.com/players/g/greenjo02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/greenjo02.jpg
Quentin,Grimes,https://www.basketball-reference.com/players/g/grimequ01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/grimequ01.jpg
Mouhamed,Gueye,https://www.basketball-reference.com/players/g/gueyemo02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gueyemo02.jpg
Rui,Hachimura,https://www.basketball-reference.com/players/h/hachiru01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hachiru01.jpg
Tyrese,Haliburton,https://www.basketball-reference.com/players/h/halibty01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/halibty01.jpg
PJ,Hall,https://www.basketball-reference.com/players/h/hallpj01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hallpj01.jpg
Yang,Hansen,https://www.basketball-reference.com/players/y/yangha01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/yangha01.jpg
Tim,Hardaway Jr.,https://www.basketball-reference.com/players/h/hardati02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hardati02.jpg
James,Harden,https://www.basketball-reference.com/players/h/hardeja01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hardeja01.jpg
Jaden,Hardy,https://www.basketball-reference.com/players/h/hardyja02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hardyja02.jpg
Elijah,Harkless,https://www.basketball-reference.com/players/h/harklej01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/harklej01.jpg
Dylan,Harper,https://www.basketball-reference.com/players/h/harpedy01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/harpedy01.jpg
Ron,Harper Jr.,https://www.basketball-reference.com/players/h/harpero02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/harpero02.jpg
Gary,Harris,https://www.basketball-reference.com/players/h/harriga01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/harriga01.jpg
Kevon,Harris,https://www.basketball-reference.com/players/h/harrike01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/harrike01.jpg
Tobias,Harris,https://www.basketball-reference.com/players/h/harrito02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/harrito02.jpg
